Название вакансии,название компании,зарплата,ссылка на вакансию
Web - разработчик (Middle),ООО Интрайс,Web - разработчик (Middle),https://tomsk.hh.ru/vacancy/128440019?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУТП,ООО Инспаир,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/127625535?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Математик программист,Алабуга. Проектный менеджмент,Математик программист,https://tomsk.hh.ru/vacancy/128144859?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С / Аналитик 1С,ООО ТрансСервис,Программист 1С / Аналитик 1С,https://tomsk.hh.ru/vacancy/128507762?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист C++ (Qt), г. Томск",Планар,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/128114995?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист,АО Научно-производственная фирма Микран,Ведущий инженер-программист,https://tomsk.hh.ru/vacancy/128112459?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle/Senior Разработчик C++,АО Атомик Софт,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/89101386?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер АСУ ТП,Производство,Инженер АСУ ТП,https://tomsk.hh.ru/vacancy/128413181?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Senior разработчик С++ в Телеметрию,UserGate,Senior разработчик С++ в Телеметрию,https://tomsk.hh.ru/vacancy/127694020?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист встраиваемых систем,Алабуга. Проектный менеджмент,Инженер-программист встраиваемых систем,https://tomsk.hh.ru/vacancy/126774906?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Менеджер проектов (Project Manager) в IT,uniSiter,Сейчас смотрит 1 человек,https://tomsk.hh.ru/vacancy/128083826?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Embedded разработчик (SDR / DSP),Алабуга. Проектный менеджмент,Embedded разработчик (SDR / DSP),https://tomsk.hh.ru/vacancy/126616678?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
